#: table_doi: 10.17182/hepdata.90017.v1/t9
#: name: Table 07
#: description: The observed and expected exclusion limit at 95% CL for the $\tilde{\chi}^{\pm}_{1}\tilde{\chi}^{0}_{2}$ production in the $m(\tilde{\chi}^{\pm}_{1}/\tilde{\chi}^{0}_{2})$-$m(\tilde{\chi}^{0}_{1})$ plane.
#: data_file: fig10axsec.yaml
#: keyword reactions: P P --> h\chi\chi | h --> \gamma\gamma
#: keyword observables: Exclusion limits
#: keyword phrases: Chargino | Neutralino | Electroweakino | Higgsino | Higgs boson
#: keyword cmenergies: 13000.0
$m(\tilde{\chi}^{\pm}_{1}/\tilde{\chi}^{0}_{2})$ [GeV],$m(\tilde{\chi}^{1}_{0})$ [GeV]
200,0
200,20
200,40
200,60
220,0
220,20
220,40
220,60
220,80
240,0
240,100
240,20
240,40
240,60
240,80
260,0
260,100
260,120
260,20
260,40
260,60
260,80
280,0
280,100
280,120
280,140
280,20
280,40
280,60
280,80
300,0
300,100
300,120
300,140
300,160
300,20
300,40
300,60
300,80
320,0
320,100
320,120
320,140
320,160
320,180
320,20
320,40
320,60
320,80
340,0
340,100
340,120
340,140
340,160
340,180
340,200
340,20
340,40
340,60
340,80
360,0
360,100
360,120
360,140
360,160
360,180
360,200
360,20
360,220
360,230
360,40
360,60
360,80
380,0
380,100
380,120
380,140
380,160
380,180
380,200
380,20
380,220
380,230
380,240
380,40
380,60
380,80
400,0
400,100
400,120
400,140
400,160
400,180
400,200
400,20
400,220
400,230
400,240
400,260
400,40
400,60
400,80
200,74
220,94
240,114
260,134
280,154
300,174
320,194
340,214
360,234
380,254
400,274

$m(\tilde{\chi}^{\pm}_{1}/\tilde{\chi}^{0}_{2})$ [GeV],Expected fb
200,0.69
200,0.72
200,0.82
200,1.02
220,0.54
220,0.55
220,0.6
220,0.71
220,0.93
240,0.43
240,0.86
240,0.43
240,0.47
240,0.53
240,0.64
260,0.35
260,0.59
260,0.81
260,0.36
260,0.38
260,0.41
260,0.48
280,0.3
280,0.44
280,0.55
280,0.76
280,0.3
280,0.32
280,0.34
280,0.38
300,0.26
300,0.35
300,0.41
300,0.52
300,0.73
300,0.27
300,0.27
300,0.29
300,0.31
320,0.24
320,0.29
320,0.33
320,0.39
320,0.49
320,0.7
320,0.24
320,0.24
320,0.25
320,0.27
340,0.21
340,0.25
340,0.28
340,0.31
340,0.37
340,0.47
340,0.67
340,0.21
340,0.22
340,0.23
340,0.24
360,0.2
360,0.22
360,0.24
360,0.26
360,0.3
360,0.36
360,0.46
360,0.2
360,0.65
360,0.82
360,0.2
360,0.2
360,0.21
380,0.18
380,0.2
380,0.22
380,0.23
380,0.26
380,0.29
380,0.35
380,0.18
380,0.44
380,0.52
380,0.63
380,0.18
380,0.19
380,0.19
400,0.17
400,0.19
400,0.2
400,0.21
400,0.22
400,0.25
400,0.28
400,0.17
400,0.34
400,0.38
400,0.43
400,0.61
400,0.17
400,0.18
400,0.18
200,1.14
220,1.09
240,1.04
260,1.0
280,0.96
300,0.92
320,0.89
340,0.87
360,0.84
380,0.82
400,0.8

$m(\tilde{\chi}^{\pm}_{1}/\tilde{\chi}^{0}_{2})$ [GeV],Observed fb
200,0.86
200,0.89
200,1.0
200,1.21
220,0.68
220,0.7
220,0.75
220,0.87
220,1.11
240,0.56
240,1.01
240,0.57
240,0.6
240,0.67
240,0.79
260,0.47
260,0.74
260,0.98
260,0.47
260,0.5
260,0.54
260,0.61
280,0.4
280,0.57
280,0.69
280,0.92
280,0.41
280,0.42
280,0.45
280,0.5
300,0.35
300,0.46
300,0.54
300,0.66
300,0.89
300,0.36
300,0.37
300,0.39
300,0.41
320,0.32
320,0.39
320,0.44
320,0.51
320,0.63
320,0.85
320,0.32
320,0.33
320,0.34
320,0.36
340,0.29
340,0.34
340,0.37
340,0.42
340,0.49
340,0.61
340,0.82
340,0.29
340,0.3
340,0.31
340,0.32
360,0.27
360,0.31
360,0.33
360,0.36
360,0.4
360,0.48
360,0.59
360,0.27
360,0.8
360,0.97
360,0.27
360,0.28
360,0.29
380,0.25
380,0.28
380,0.29
380,0.31
380,0.34
380,0.39
380,0.46
380,0.25
380,0.57
380,0.66
380,0.78
380,0.25
380,0.26
380,0.27
400,0.23
400,0.26
400,0.27
400,0.28
400,0.31
400,0.34
400,0.38
400,0.23
400,0.45
400,0.5
400,0.56
400,0.77
400,0.24
400,0.24
400,0.25
200,1.4
220,1.33
240,1.28
260,1.19
280,1.14
300,1.1
320,1.06
340,1.03
360,1.0
380,0.97
400,0.95

