#### This file is generated by:
# ( for i in c1c1/Events/tab1_*; do
#   grep "^ *1000024" $i/*_banner.txt | sed 's/^ *1000024 *//' | sed 's/ .*/,/' | tr '\n' ' '
#  ./parse.pl $i/parton_systematics.log | sed 's/\t/, /g'
# done )  > tab1_xs.tsv
#
# C1 mass,        xs [pb],       unc- [pb],           unc+ [pb]
1.98140170E+02, 0.42129362455, -0.0156823828443678, 0.0155242556251088
2.07915132E+02, 0.349975017993, -0.0138514523726654, 0.0134314284011578
2.27511845E+02, 0.249092279788, -0.0109465783907869, 0.0101717832079121
2.47160919E+02, 0.181305613755, -0.00874731476685378, 0.00779666842485357
2.66852848E+02, 0.133919828069, -0.00708295374650579, 0.00609536799935248
2.86580281E+02, 0.101387586765, -0.00586344672144181, 0.00489142308201415
2.96455459E+02, 0.0884094798081, -0.00533375937710214, 0.00440280097088823
3.06337449E+02, 0.077399782387, -0.00478722503257414, 0.00389118505451201
3.26119761E+02, 0.0600859760096, -0.00398591543381605, 0.00316425551622742
3.45923523E+02, 0.047096872351, -0.0033319065052454, 0.00260251026725305
3.65745725E+02, 0.0373308018792, -0.00283409389905947, 0.00216325796473789
3.85583895E+02, 0.0298665409337, -0.00235650793302895, 0.00178052935136323
3.95508312E+02, 0.0268064588665, -0.00216702657429868, 0.00163024268052385
4.05435981E+02, 0.0241560539085, -0.00200987223607828, 0.0015117772562887
4.25300267E+02, 0.0196402085266, -0.00169926512126272, 0.00125837806321135
4.45175309E+02, 0.0160807762495, -0.00144122695563448, 0.00106779381508333
4.94902355E+02, 0.00996910956617, -0.000980377156862032, 0.000707686718470729
5.44674580E+02, 0.00640947734906, -0.000678927046035586, 0.00048522791536839
